1,16,17,7,22,21,23,25,13,6,28,20,3,14,9,29,11,4,19,15,27,0,24,8,2,5,12,30,31,26,18,10
14,30,6,12,26,0,29,11,3,15,28,31,22,25,21,2,18,19,10,7,16,23,17,9,4,24,8,13,5,20,1,27
16,0,6,19,25,30,27,7,28,8,12,2,24,11,29,10,26,23,5,9,20,13,18,17,1,3,14,22,4,15,31,21
10,13,20,2,4,23,6,22,25,17,31,21,8,18,27,30,9,26,7,11,28,19,12,3,24,0,1,29,14,15,5,16
28,8,0,25,11,29,30,24,2,15,17,27,5,9,23,3,18,10,21,16,26,19,7,12,14,13,22,1,20,6,31,4
20,13,0,18,8,7,31,23,17,26,24,15,11,9,19,3,25,4,30,22,16,21,29,1,27,28,5,6,14,10,12,2
16,28,17,2,22,0,20,30,1,8,19,4,18,31,27,11,5,10,6,26,15,13,21,23,9,24,12,7,25,3,29,14
12,10,11,7,8,2,28,4,13,29,31,20,0,24,15,18,25,9,14,16,19,5,17,27,23,21,6,1,30,26,22,3
6,11,28,9,12,10,17,31,23,13,16,25,5,22,14,27,7,20,29,15,4,8,0,24,18,19,26,21,30,2,3,1
14,24,4,26,8,12,25,11,22,30,2,29,0,1,9,17,10,7,16,31,13,6,3,21,27,15,5,20,18,19,23,28
11,17,29,30,0,5,14,1,9,3,20,23,8,6,16,12,10,28,25,24,31,27,18,2,19,15,22,13,26,7,4,21
16,26,30,15,5,25,13,28,29,2,24,19,23,12,7,31,3,14,1,6,4,10,0,22,18,20,9,27,11,8,21,17
30,31,3,26,12,11,10,28,0,24,18,9,16,22,27,23,14,20,21,8,15,6,5,2,25,29,17,1,4,19,7,13
11,13,28,31,9,19,17,2,15,6,10,29,1,4,12,24,20,30,26,22,14,7,25,3,5,27,0,16,23,18,21,8
7,21,31,23,16,9,14,0,28,6,17,19,2,15,18,11,25,12,10,3,27,5,1,4,26,13,20,22,30,29,8,24
19,4,9,12,21,18,14,6,23,13,31,7,8,17,30,10,16,26,1,15,0,11,2,22,28,29,27,24,20,3,25,5
2,14,12,20,6,18,26,21,30,24,25,19,13,23,7,22,17,8,1,29,27,16,5,4,31,10,0,3,11,9,15,28
27,13,25,29,30,18,5,22,7,23,21,28,1,19,6,2,0,10,16,31,24,3,26,14,15,4,9,8,12,11,17,20
